CowID,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,still_milking,AniLifeNumber
662,2,2,2023-08-26 00:00:00.000,2023-08-26 00:00:00.000,2023-09-13 00:00:00.000,18,624.3,4.032105,3.470526,2023-09-13 00:00:00.000,NULL,1,FR 4404288455
662,1,1,2022-09-26 00:00:00.000,2022-09-26 00:00:00.000,2023-03-31 00:00:00.000,186,4934.4,4.205752,3.398978,2023-03-31 00:00:00.000,148,0,FR 4404288455
663,1,1,2022-09-26 00:00:00.000,2022-09-26 00:00:00.000,2023-03-24 00:00:00.000,179,6179.2,4.816480,3.601173,2023-03-24 00:00:00.000,171,0,FR 4404288456
663,2,2,2023-09-11 00:00:00.000,2023-09-11 00:00:00.000,2024-03-22 00:00:00.000,193,8333.6,5.126082,3.580567,2024-03-22 00:00:00.000,137,0,FR 4404288456
663,3,3,2024-08-06 00:00:00.000,2024-08-06 00:00:00.000,2024-09-19 00:00:00.000,44,2118.0,5.603777,3.093111,2024-09-19 00:00:00.000,NULL,1,FR 4404288456
668,1,1,2022-08-13 00:00:00.000,2022-08-14 00:00:00.000,2023-05-05 00:00:00.000,264,7801.5,4.759132,3.485773,2023-05-05 00:00:00.000,62,0,FR 4404288458
668,2,2,2023-07-05 00:00:00.000,2023-07-06 00:00:00.000,2024-07-19 00:00:00.000,379,13956.8,5.071131,3.518578,2024-07-19 00:00:00.000,NULL,1,FR 4404288458
673,1,1,2022-10-20 00:00:00.000,2022-10-21 00:00:00.000,2023-09-08 00:00:00.000,322,10581.1,4.527863,3.346501,2023-09-08 00:00:00.000,42,0,FR 4404288459
673,2,2,2023-10-20 00:00:00.000,2023-10-20 00:00:00.000,2023-10-20 00:00:00.000,0,1.5,1.940000,5.370000,2023-10-20 00:00:00.000,NULL,1,FR 4404288459
675,2,2,2022-01-17 00:00:00.000,2022-01-17 00:00:00.000,2023-03-31 00:00:00.000,438,16746.7,4.466446,3.152642,2023-03-31 00:00:00.000,152,0,FR 4954409920
675,3,3,2023-08-30 00:00:00.000,2023-08-30 00:00:00.000,2024-08-02 00:00:00.000,338,16419.8,4.102566,3.161445,2024-08-02 00:00:00.000,NULL,1,FR 4954409920
676,1,1,2020-07-18 00:00:00.000,2020-07-27 00:00:00.000,2021-05-17 00:00:00.000,294,9988.8,4.484881,3.415728,2021-05-17 00:00:00.000,55,0,FR 4954409906
676,2,2,2021-07-10 00:00:00.000,2021-07-11 00:00:00.000,2022-05-27 00:00:00.000,320,12916.3,4.449501,3.370965,2022-05-27 00:00:00.000,66,0,FR 4954409906
676,3,3,2022-07-31 00:00:00.000,2022-08-01 00:00:00.000,2023-05-05 00:00:00.000,277,12408.0,4.755503,3.425719,2023-05-05 00:00:00.000,61,0,FR 4954409906
676,4,4,2023-07-05 00:00:00.000,2023-07-05 00:00:00.000,2024-06-14 00:00:00.000,345,13398.4,5.178381,3.560375,2024-06-14 00:00:00.000,66,0,FR 4954409906
676,5,5,2024-08-18 00:00:00.000,2024-08-19 00:00:00.000,2024-09-18 00:00:00.000,30,1251.7,4.216451,3.613548,2024-09-18 00:00:00.000,NULL,1,FR 4954409906
678,2,2,2021-07-12 00:00:00.000,2021-07-12 00:00:00.000,2021-10-19 00:00:00.000,99,2964.2,3.790000,3.330000,2021-10-19 00:00:00.000,NULL,1,FR 4954409903
679,2,1,2020-07-07 00:00:00.000,2020-07-27 00:00:00.000,2021-06-28 00:00:00.000,336,12371.6,4.396795,3.338338,2021-06-28 00:00:00.000,59,0,FR 4954409839
679,3,2,2021-08-26 00:00:00.000,2021-08-26 00:00:00.000,2022-04-21 00:00:00.000,238,9581.5,4.412384,3.412677,2022-04-21 00:00:00.000,NULL,1,FR 4954409839
680,4,2,2021-11-28 00:00:00.000,2021-11-28 00:00:00.000,2023-04-14 00:00:00.000,502,18296.8,6.047654,3.664612,2023-04-14 00:00:00.000,NULL,1,FR 4954409802
681,1,1,2022-11-26 00:00:00.000,2022-11-27 00:00:00.000,2023-11-18 00:00:00.000,356,12856.5,4.632219,3.541432,2023-11-18 00:00:00.000,55,0,FR 4404288460
681,2,2,2024-01-12 00:00:00.000,2024-01-12 00:00:00.000,2024-08-10 00:00:00.000,211,9986.5,4.352938,3.556303,2024-08-10 00:00:00.000,NULL,1,FR 4404288460
696,1,1,2022-08-21 00:00:00.000,2022-08-22 00:00:00.000,2023-06-16 00:00:00.000,298,9616.5,4.664648,3.639866,2023-06-16 00:00:00.000,28,0,FR 4404288461
696,2,2,2023-07-14 00:00:00.000,2023-07-14 00:00:00.000,2024-05-24 00:00:00.000,315,10977.5,4.762658,3.729113,2024-05-24 00:00:00.000,81,0,FR 4404288461
696,3,3,2024-08-12 00:00:00.000,2024-08-13 00:00:00.000,2024-09-18 00:00:00.000,36,1581.4,3.802432,3.674864,2024-09-18 00:00:00.000,NULL,1,FR 4404288461
701,1,1,2022-11-10 00:00:00.000,2022-11-10 00:00:00.000,2023-06-06 00:00:00.000,208,7333.4,4.097607,3.382009,2023-06-06 00:00:00.000,NULL,1,FR 4404288462
703,1,1,2022-12-05 00:00:00.000,2022-12-05 00:00:00.000,2023-07-04 00:00:00.000,211,8127.5,4.881132,3.411839,2023-07-04 00:00:00.000,NULL,1,FR 4404288463
707,1,1,2023-01-23 00:00:00.000,2023-01-23 00:00:00.000,2023-09-12 00:00:00.000,232,7034.6,4.469828,3.436523,2023-09-12 00:00:00.000,NULL,1,FR 4404288465
708,1,1,2022-10-08 00:00:00.000,2022-10-09 00:00:00.000,2023-06-29 00:00:00.000,263,9632.2,4.224204,3.444015,2023-06-29 00:00:00.000,60,0,FR 4404288466
708,2,2,2023-08-27 00:00:00.000,2023-08-28 00:00:00.000,2024-07-19 00:00:00.000,326,13443.4,4.572171,3.549082,2024-07-19 00:00:00.000,49,0,FR 4404288466
