"","AniId","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","LacId","LacRemarks","LacColostrumDate","milk_production_start_date","milk_production_end_date","lactation_duration","total_milk_production","avg_daily_yield","early_lactation_yield","mid_lactation_yield","delta_early_mid_yield","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","AniLifeNumber","AniActive","AniGenId","AniBirthday","AniMotherLifeNumber","category","customer_id","date","entry_code","entry_date","exit_code","exit_date","month","year","still_milking","est_deliver_total_milk_L","est_deliver_avg_daily_yield","est_deliver_early_lactation_yield","est_deliver_mid_lactation_yield","est_deliver_delta_lactation_yield","age_at_calving","n_insem","first_pregnancy","n_insem_flag","n_failed_insem","last_lactation","calving_to_insem_days","n_failed_pregnancies","calving_interval_days","calving_interval_reason"
"12",114,3,1,2016-12-03,449,"Ord 706004044",2016-12-10,2016-12-04,2017-10-19,319,11380.873786,36.747021,1169.320374,2718.058227,1548.737853,4.171125,3.486093,2017-10-19,46,"FR4454691593",FALSE,2,2012-09-15,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"A",2014-10-01,"B",2019-07-29,1,2015,FALSE,10914.257960774,35.240393139,1121.378238666,2606.617839693,1485.239601027,50,1,FALSE,"recorded",0,FALSE,84,0,365,"recorded"
"13",84,1,1,2016-12-07,451,"ord 706004044",2016-12-11,2016-12-07,2017-10-19,316,9250.097087,30.150632,646.407753,2014.854338,1368.446585,3.721451,3.401608,2017-10-19,52,"FR4404288167",FALSE,2,2014-08-19,"FR4404288112","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-12-06,"N",2014-08-19,"B",2022-05-09,12,2016,FALSE,8870.843106433,28.914456088,619.905035127,1932.245310142,1312.340275015,27,2,TRUE,"recorded",1,FALSE,71,1,368,"recorded"
"14",96,1,1,2016-12-08,452,"",2016-12-13,2016-12-09,2017-09-18,283,6388.543689,23.25159,544.368919,1438.737834,894.368915,3.38345,3.198133,2017-09-18,57,"FR4404288180",TRUE,2,2014-11-03,"FR4404288088","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-12-05,"N",2014-11-03,"B",2025-03-17,12,2016,FALSE,6126.613397751,22.29827481,522.049793321,1379.749582806,857.699789485,25,1,TRUE,"recorded",0,FALSE,63,0,341,"recorded"
"15",208,1,1,2016-12-09,453,"",2016-12-16,2016-12-09,2017-09-18,283,7118.058252,25.906713,798.73785,1849.126185,1050.388335,4.572781,3.439823,2017-09-18,68,"FR4404658982",FALSE,2,2014-03-30,"FR4404658853","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-12-09,"A",2016-11-17,"E",2023-01-30,12,2016,FALSE,6826.217863668,24.844537767,765.98959815,1773.312011415,1007.322413265,32,1,TRUE,"recorded",0,FALSE,68,0,351,"recorded"
"16",193,2,1,2016-12-10,454,"Ordonnance: 701008251",2016-12-17,2016-12-10,2017-11-10,335,10315.728155,31.717014,1094.368918,2478.737837,1384.368919,4.445595,3.144583,2017-11-10,65,"FR4404288141",FALSE,2,2013-10-29,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-12-24,"N",2013-10-29,"B",2021-12-28,12,2015,FALSE,9892.783300645,30.416616426,1049.499792362,2377.109585683,1327.609793321,37,2,FALSE,"recorded",1,FALSE,91,1,400,"recorded"
"17",38,3,1,2016-12-14,456,"",2016-12-21,2016-12-14,2017-10-11,301,8547.961165,29.250498,949.41746,2065.728125,1116.310665,5.553112,2.988476,2017-10-11,NA,"FR4404288112",FALSE,2,2012-07-31,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-07-31,"B",2018-03-26,1,2015,FALSE,8197.494757235,28.051227582,910.49134414,1981.033271875,1070.541927735,52,4,FALSE,"recorded",3,TRUE,138,3,NA,"no subsequent calving"
"18",92,1,1,2016-12-15,457,"Ordo :706004044",2016-12-22,2016-12-16,2017-11-10,329,8320.679611,26.049544,686.990274,1864.174725,1177.184451,3.652818,3.094242,2017-11-10,39,"FR4404288175",FALSE,2,2014-10-17,"FR4954667338","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-12-15,"N",2014-10-17,"E",2021-12-01,12,2016,FALSE,7979.531746949,24.981512696,658.823672766,1787.743561275,1128.919888509,25,2,TRUE,"recorded",1,FALSE,69,2,369,"recorded"
"19",32,3,1,2016-12-17,458,"orbeseal ar d et g",2016-12-24,2016-12-17,2017-12-01,349,11733.398058,34.628653,1173.106782,2499.514535,1326.407753,4.377342,3.496885,2017-12-01,178,"FR4404288105",FALSE,2,2012-04-11,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-04-11,"B",2019-02-04,1,2015,FALSE,11252.328737622,33.208878227,1125.009403938,2397.034439065,1272.025035127,56,6,FALSE,"recorded",5,FALSE,60,4,526,"recorded"
"20",91,1,1,2016-12-17,460,"",2016-12-24,2016-12-19,2017-11-17,333,8399.029126,25.978978,750.873774,1701.16502,950.291246,3.028023,3.222095,2017-11-17,60,"FR4404288174",FALSE,2,2014-09-24,"FR4404288116","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-12-17,"N",2014-09-24,"B",2021-12-28,12,2016,FALSE,8054.668931834,24.913839902,720.087949266,1631.41725418,911.329304914,26,1,TRUE,"recorded",0,FALSE,114,0,395,"recorded"
"21",14,4,1,2016-12-22,462,"NULL",2016-12-29,2016-12-22,2017-03-10,78,2680.679611,35.398717,998.543674,1682.135899,683.592225,4.886329,3.308987,2017-03-10,NA,"FR4404288073",FALSE,2,2011-02-07,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-02-07,"M",2017-05-16,1,2015,FALSE,2570.771746949,33.947369603,957.603383366,1613.168327141,655.564943775,70,NA,FALSE,"unknown",NA,TRUE,NA,0,NA,"no subsequent calving"
"22",41,3,1,2016-12-22,463,"",2016-12-26,2016-12-22,2017-10-11,293,8754.271844,30.774402,1038.058238,2357.184439,1319.126201,3.716938,3.357619,2017-10-11,NA,"FR4404288116",FALSE,2,2012-09-19,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-09-19,"B",2018-01-02,1,2015,FALSE,8395.346698396,29.512651518,995.497850242,2260.539877001,1265.042026759,51,3,FALSE,"recorded",2,TRUE,95,1,NA,"no subsequent calving"
"23",56,2,2,2016-12-22,464,"Ordonnance: 701008251",2016-12-29,2016-12-22,2017-11-10,323,8971.165048,28.607739,1054.368919,2147.669874,1093.300955,3.29253,3.126049,2017-11-10,60,"FR4404288137",FALSE,2,2013-09-14,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-11-14,"N",2013-09-14,"B",2019-06-03,11,2015,FALSE,8603.347281032,27.434821701,1011.139793321,2059.615409166,1048.475615845,39,2,FALSE,"recorded",1,FALSE,62,1,383,"recorded"
"24",42,3,1,2016-12-23,466,"ord 706004044",2016-12-27,2016-12-23,2017-10-19,300,11473.883495,39.393666,1223.78639,2849.029098,1625.242708,4.421627,3.485016,2017-10-19,72,"FR4404288120",FALSE,2,2012-10-01,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-10-01,"M",2020-01-11,1,2015,FALSE,11003.454271705,37.778525694,1173.61114801,2732.218904982,1558.607756972,50,1,FALSE,"recorded",0,FALSE,80,0,372,"recorded"
"25",54,2,1,2016-12-26,468,"",2017-01-02,2016-12-26,2017-12-01,340,10402.427184,31.513235,941.747558,2213.009676,1271.262118,4.35607,3.46868,2017-12-01,54,"FR4404288134",FALSE,2,2013-08-26,"FR4404288050","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-10-21,"N",2013-08-26,"B",2020-06-29,10,2015,FALSE,9975.927669456,30.221192365,903.135908122,2122.276279284,1219.140371162,40,3,FALSE,"recorded",2,FALSE,70,2,394,"recorded"
"26",55,2,2,2016-12-26,470,"",2017-01-02,2016-12-26,2017-12-01,340,10590.388349,32.082647,1049.514547,2296.796085,1247.281538,3.619325,3.436275,2017-12-01,116,"FR4404288136",FALSE,2,2013-09-10,"FR4404288079","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-01-13,"N",2013-09-10,"B",2021-12-28,1,2016,FALSE,10156.182426691,30.767258473,1006.484450573,2202.627445515,1196.142994942,39,4,FALSE,"recorded",3,FALSE,85,3,455,"recorded"
"27",94,1,1,2016-12-27,472,"ord 706004044",2017-01-03,2016-12-27,2017-10-19,296,8357.864077,29.083108,890.873775,2074.854343,1183.980568,3.641548,3.404175,2017-10-19,54,"FR4404288177",FALSE,2,2014-10-20,"FR4454691578","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-12-27,NA,NA,"E",2023-06-13,12,2016,FALSE,8015.191649843,27.890700572,854.347950225,1989.785314937,1135.437364712,26,1,TRUE,"recorded",0,FALSE,69,0,350,"recorded"
"28",9,5,2,2017-01-10,474,"",2017-01-15,2017-01-10,2017-10-11,274,8746.504854,32.879197,1201.456296,2567.669875,1366.213579,4.577963,3.216727,2017-10-11,91,"FR4404288050",FALSE,2,2010-02-15,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2010-02-15,"M",2018-03-24,1,2015,FALSE,8387.898154986,31.531149923,1152.196587864,2462.395410125,1310.198822261,82,1,FALSE,"recorded",0,FALSE,80,0,365,"recorded"
"29",51,2,2,2017-01-14,477,"Ordo :706004044",2017-01-19,2017-01-15,2017-11-10,299,7775.631067,26.785618,950.388334,2019.61162,1069.223286,3.788733,3.1279,2017-11-10,NA,"FR4404288131",FALSE,2,2013-08-14,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-09-01,"N",2013-08-14,"B",2018-03-26,9,2015,FALSE,7456.830193253,25.687407662,911.422412306,1936.80754358,1025.385131274,41,4,FALSE,"recorded",3,TRUE,70,2,NA,"no subsequent calving"
"30",99,1,1,2017-01-18,479,"",2017-01-21,2017-01-18,2017-10-11,266,4603.980582,17.827443,393.106782,1104.368901,711.262119,3.403258,3.386928,2017-10-11,NA,"FR4404288183",FALSE,2,2014-11-18,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2017-01-18,"N",2014-11-18,"B",2018-01-02,1,2017,FALSE,4415.217378138,17.096517837,376.989403938,1059.089776059,682.100372121,26,2,TRUE,"recorded",1,TRUE,98,0,NA,"no subsequent calving"
