AniLifeNumber,Month,mdpMonthlyMilkYield_Liters
FR 4404288112,2016-12,496.213592
FR 4404288115,2016-12,46.796116
FR 4404288116,2016-12,268.737864
FR 4404288120,2016-12,257.864077
FR 4404288121,2016-12,1281.067961
FR 4404288122,2016-12,886.893203
FR 4404288126,2016-12,1200.388349
FR 4404288127,2016-12,1237.281553
FR 4404288128,2016-12,932.524271
FR 4404288129,2016-12,614.854368
FR 4404288130,2016-12,1061.553398
FR 4404288131,2016-12,22.621359
FR 4404288132,2016-12,784.660194
FR 4404288133,2016-12,31.844660
FR 4404288134,2016-12,93.980582
FR 4404288136,2016-12,127.961165
FR 4404288137,2016-12,273.980582
FR 4404288138,2016-12,1366.310679
FR 4404288139,2016-12,785.533980
FR 4404288140,2016-12,702.135922
FR 4404288141,2016-12,760.873786
FR 4404288142,2016-12,223.106796
FR 4404288143,2016-12,984.077669
FR 4404288145,2016-12,782.330097
FR 4404288146,2016-12,785.048543
FR 4404288149,2016-12,832.330097
FR 4404288150,2016-12,896.990291
FR 4404288151,2016-12,777.669902
FR 4404288153,2016-12,694.077669
FR 4404288154,2016-12,860.679611
FR 4404288155,2016-12,1075.242718
FR 4404288156,2016-12,866.019417
FR 4404288157,2016-12,908.932038
FR 4404288158,2016-12,913.398058
FR 4404288159,2016-12,857.087378
FR 4404288161,2016-12,770.097087
FR 4404288162,2016-12,950.776699
FR 4404288163,2016-12,809.902912
FR 4404288164,2016-12,1147.766990
FR 4404288167,2016-12,484.368932
FR 4404288168,2016-12,1027.961165
FR 4404288169,2016-12,1159.320388
FR 4404288174,2016-12,287.961165
FR 4404288175,2016-12,312.621359
FR 4404288176,2016-12,792.524271
FR 4404288177,2016-12,69.902912
FR 4404288180,2016-12,395.145631
FR 4404288185,2016-12,663.009708
FR 4404658920,2016-12,1105.242718
FR 4404658938,2016-12,976.213592
FR 4404658982,2016-12,590.291262
FR 4404659023,2016-12,1015.145631
FR 4404659034,2016-12,823.398058
FR 4454691592,2016-12,1163.106796
FR 4454691593,2016-12,1125.631067
FR 4912264927,2016-12,801.359223
FR 4935590346,2016-12,232.621359
FR 4945368325,2016-12,738.155339
FR 4947438444,2016-12,20.388349
FR 4950954269,2016-12,1035.728155
FR 4950954270,2016-12,712.427184
FR 4954667338,2016-12,626.116504
FR 4956691421,2016-12,683.398058
FR 4958880362,2016-12,908.058252
FR 4958880363,2016-12,776.893203
FR 4963097404,2016-12,1305.242718
FR 4968695856,2016-12,773.300970
FR 4404288019,2017-01,776.019417
FR 4404288028,2017-01,677.087378
FR 4404288029,2017-01,704.951456
FR 4404288045,2017-01,608.737864
FR 4404288050,2017-01,827.475728
FR 4404288063,2017-01,898.834951
FR 4404288068,2017-01,1417.766990
FR 4404288069,2017-01,885.728155
FR 4404288073,2017-01,1077.572815
FR 4404288075,2017-01,1037.669902
FR 4404288079,2017-01,278.446601
FR 4404288080,2017-01,1050.291262
FR 4404288081,2017-01,737.864077
FR 4404288082,2017-01,783.786407
FR 4404288083,2017-01,844.077669
FR 4404288088,2017-01,990.970873
FR 4404288094,2017-01,795.728155
FR 4404288097,2017-01,1004.466019
FR 4404288098,2017-01,1060.097087
FR 4404288100,2017-01,967.378640
FR 4404288101,2017-01,1243.786407
FR 4404288102,2017-01,889.320388
FR 4404288105,2017-01,1365.728155
FR 4404288106,2017-01,490.679611
FR 4404288109,2017-01,1005.048543
FR 4404288110,2017-01,840.873786
FR 4404288111,2017-01,925.242718
FR 4404288112,2017-01,1218.058252
FR 4404288115,2017-01,65.728155
FR 4404288116,2017-01,1150.873786
FR 4404288120,2017-01,1470.194174
FR 4404288121,2017-01,1139.223300
FR 4404288122,2017-01,782.330097
FR 4404288126,2017-01,1032.718446
FR 4404288127,2017-01,1182.621359
FR 4404288128,2017-01,810.970873
FR 4404288129,2017-01,532.135922
FR 4404288130,2017-01,955.728155
FR 4404288131,2017-01,520.291262
FR 4404288132,2017-01,133.980582
FR 4404288134,2017-01,1125.436893
FR 4404288136,2017-01,1213.009708
FR 4404288137,2017-01,1267.669902
FR 4404288138,2017-01,1113.592233
FR 4404288139,2017-01,682.233009
FR 4404288140,2017-01,338.058252
FR 4404288141,2017-01,1324.466019
FR 4404288143,2017-01,833.300970
