AniId,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,LacId,LacRemarks,LacColostrumDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,avg_daily_yield,early_lactation_yield,mid_lactation_yield,delta_early_mid_yield,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,AniLifeNumber
82,3,3,2016-10-29 00:00:00.000,581,NULL,2016-11-05 20:12:00.000,2016-10-29 00:00:00.000,2017-10-30 00:00:00.000,366,13374.077669,37.637431,1205.048529,2684.757256,1479.708727,3.492051,3.188333,2017-10-30 00:00:00.000,NULL,FR 4401572109
83,1,1,2015-01-05 00:00:00.000,399,NULL,2015-01-12 10:29:00.000,2015-01-05 00:00:00.000,2015-01-08 00:00:00.000,3,19.514563,6.700000,19.514562,0.000000,-19.514562,6.657500,4.427500,2015-01-08 00:00:00.000,NULL,FR 4401572110
95,1,1,2014-08-13 00:00:00.000,356,NULL,2014-08-16 14:34:00.000,2014-08-13 00:00:00.000,2015-07-28 00:00:00.000,349,8680.679611,25.619197,665.631056,1247.378609,581.747553,5.055285,3.225428,2015-07-28 00:00:00.000,NULL,FR 4401572113
96,1,1,2015-01-03 00:00:00.000,398,NULL,2015-01-13 18:28:00.000,2015-01-03 00:00:00.000,2015-02-27 00:00:00.000,55,1259.902912,23.594545,618.155326,641.747562,23.592236,3.451785,3.378571,2015-02-27 00:00:00.000,NULL,FR 4401572114
97,1,1,2014-07-21 00:00:00.000,348,NULL,2014-07-23 19:36:00.000,2014-07-21 00:00:00.000,2015-06-24 00:00:00.000,338,8601.359223,26.211242,716.116491,1672.524242,956.407751,4.398584,3.176430,2015-06-24 00:00:00.000,70,FR 4401572115
97,2,2,2015-09-02 00:00:00.000,476,NULL,2015-09-09 13:39:00.000,2015-09-02 00:00:00.000,2016-09-06 00:00:00.000,370,12993.980582,36.172432,1014.757268,2503.106769,1488.349501,4.381164,3.004212,2016-09-06 00:00:00.000,64,FR 4401572115
97,3,3,2016-11-09 00:00:00.000,585,,2016-11-14 10:38:00.000,2016-11-09 00:00:00.000,2018-01-29 00:00:00.000,446,14169.126213,32.722421,1191.747561,2618.058223,1426.310662,3.747341,3.292405,2018-01-29 00:00:00.000,225,FR 4401572115
97,4,4,2018-09-11 00:00:00.000,788,,2018-09-15 07:38:00.000,2018-09-11 00:00:00.000,2019-06-18 00:00:00.000,280,10753.980582,39.559285,1223.203866,2522.621328,1299.417462,NULL,NULL,2019-06-18 00:00:00.000,NULL,FR 4401572115
98,1,1,2014-12-31 00:00:00.000,396,NULL,2015-01-04 07:52:00.000,2014-12-31 00:00:00.000,2015-12-03 00:00:00.000,337,13019.320388,39.791988,787.766975,2223.106764,1435.339789,3.844733,3.007307,2015-12-03 00:00:00.000,44,FR 4401572119
98,2,2,2016-01-16 00:00:00.000,515,NULL,2016-01-23 16:59:00.000,2016-01-16 00:00:00.000,2016-12-14 00:00:00.000,333,14294.563106,44.214414,1104.271829,3075.048517,1970.776688,3.851162,3.275406,2016-12-14 00:00:00.000,NULL,FR 4401572119
99,1,1,2014-09-14 00:00:00.000,371,NULL,2014-09-17 14:47:00.000,2014-09-14 00:00:00.000,2015-07-23 00:00:00.000,312,8491.553398,28.033012,709.611637,1633.106767,923.495130,4.690095,3.285431,2015-07-23 00:00:00.000,35,FR 4401572120
99,2,2,2015-08-24 00:00:00.000,469,NULL,2015-08-31 14:50:00.000,2015-08-27 00:00:00.000,2015-12-01 00:00:00.000,96,1968.640776,21.121875,473.495131,1309.223269,835.728138,5.259791,3.587500,2015-12-01 00:00:00.000,234,FR 4401572120
99,3,5,2016-07-22 00:00:00.000,547,NULL,2016-07-29 19:58:00.000,2016-07-22 00:00:00.000,2017-06-13 00:00:00.000,326,10722.330097,33.877300,1122.135909,2376.213561,1254.077652,5.013417,3.674683,2017-06-13 00:00:00.000,NULL,FR 4401572120
100,1,1,2014-10-18 00:00:00.000,380,NULL,NULL,2014-10-18 00:00:00.000,2015-11-12 00:00:00.000,390,11836.796116,31.261282,746.116491,2011.747541,1265.631050,4.351739,2.925115,2015-11-12 00:00:00.000,NULL,FR 4401572121
101,1,1,2015-01-29 00:00:00.000,412,NULL,2015-02-04 10:02:00.000,2015-01-30 00:00:00.000,2016-05-25 00:00:00.000,481,16818.543689,36.014760,845.825231,2285.145601,1439.320370,5.491701,3.143298,2016-05-25 00:00:00.000,64,FR 4401572122
101,2,2,2016-07-28 00:00:00.000,551,NULL,2016-08-16 18:29:00.000,2016-07-28 00:00:00.000,2016-09-18 00:00:00.000,52,1470.000000,29.117307,843.689305,626.310668,-217.378637,NULL,NULL,2016-09-18 00:00:00.000,NULL,FR 4401572122
102,1,1,2015-02-16 00:00:00.000,424,NULL,2015-02-23 12:23:00.000,2015-02-17 00:00:00.000,2015-04-29 00:00:00.000,71,2003.786407,29.069014,786.504839,1217.281532,430.776693,3.786666,2.895416,2015-04-29 00:00:00.000,NULL,FR 4401572123
103,1,1,2014-12-23 00:00:00.000,393,NULL,2014-12-26 10:15:00.000,2014-12-23 00:00:00.000,2015-01-28 00:00:00.000,36,1189.708737,34.038888,944.271831,245.436890,-698.834941,3.794594,3.242702,2015-01-28 00:00:00.000,NULL,FR 4401572124
104,1,1,2015-01-03 00:00:00.000,397,NULL,2015-01-13 07:33:00.000,2015-01-03 00:00:00.000,2015-01-30 00:00:00.000,27,433.883495,16.551851,433.883483,0.000000,-433.883483,3.605185,3.120740,2015-01-30 00:00:00.000,NULL,FR 4401572125
105,1,1,2015-03-24 00:00:00.000,434,NULL,2015-04-01 20:09:00.000,2015-03-25 00:00:00.000,2015-04-29 00:00:00.000,35,823.883495,24.245714,626.019406,197.864074,-428.155332,4.318055,3.410277,2015-04-29 00:00:00.000,NULL,FR 4401572126
106,1,1,2015-04-03 00:00:00.000,436,NULL,2015-04-10 06:59:00.000,2015-04-03 00:00:00.000,2016-07-18 00:00:00.000,472,13843.883495,30.210169,679.514548,2081.165018,1401.650470,4.691148,2.991891,2016-07-18 00:00:00.000,43,FR 4401572128
106,2,2,2016-08-30 00:00:00.000,566,,2016-09-06 20:33:00.000,2016-08-30 00:00:00.000,2017-10-31 00:00:00.000,427,14278.349514,34.441920,1087.961149,2428.543663,1340.582514,4.435316,3.122151,2017-10-31 00:00:00.000,80,FR 4401572128
106,3,3,2018-01-19 00:00:00.000,735,,2018-01-24 10:38:00.000,2018-01-19 00:00:00.000,2018-11-19 00:00:00.000,304,10762.233009,36.464144,1274.951441,2658.834927,1383.883486,NULL,NULL,2018-11-19 00:00:00.000,32,FR 4401572128
106,4,4,2018-12-21 00:00:00.000,850,NULL,2018-12-28 10:42:00.000,2018-12-21 00:00:00.000,2019-02-17 00:00:00.000,58,1184.757281,21.039655,516.019400,668.737853,152.718453,NULL,NULL,2019-02-17 00:00:00.000,NULL,FR 4401572128
107,1,1,2015-01-29 00:00:00.000,408,NULL,2015-02-02 10:12:00.000,2015-01-29 00:00:00.000,2016-02-22 00:00:00.000,389,11551.844660,30.587146,845.631053,1983.495118,1137.864065,4.699384,3.066769,2016-02-22 00:00:00.000,88,FR 4401572129
