"","InsId","InsNumber","InsDate","InsSirId","InsChargeNumber","InsSequenceNumber","InsLacId","InsConId","InsRemarks","AniLifeNumber","AniBirthday","AniKeep","AniGenId","AniActive","AniMotherLifeNumber","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","milk_production_start_date","milk_production_end_date","lactation_duration","total_milk_production","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","still_milking","LacAniId","LacRemarks","LacColostrumDate","PreDate","PreRemark","successful_insem"
"27",27,2,2015-11-19,NA,NA,0,253,NA,"","FR4404288092",2011-12-06,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"28",28,3,2015-12-12,NA,NA,0,253,NA,"","FR4404288092",2011-12-06,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"29",29,4,2016-01-05,NA,NA,0,253,NA,"","FR4404288092",2011-12-06,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"30",30,1,2016-01-18,NA,NA,0,258,NA,"","FR4404288097",2012-01-13,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"31",31,2,2016-03-02,NA,NA,0,258,NA,"","FR4404288097",2012-01-13,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"32",32,3,2016-03-03,NA,NA,0,258,NA,"","FR4404288097",2012-01-13,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-10-13,NA,TRUE
"33",33,1,2015-11-13,NA,NA,0,260,NA,"","FR4404288098",2012-01-20,TRUE,2,FALSE,"FR 4404288040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"34",34,1,2016-01-16,NA,NA,0,266,NA,"","FR4404288101",2012-03-18,TRUE,2,FALSE,"FR 4404287009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-21,NA,TRUE
"35",35,1,2015-11-06,NA,NA,0,271,NA,"","FR4404288105",2012-04-11,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"36",36,2,2015-12-21,NA,NA,0,271,NA,"","FR4404288105",2012-04-11,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"37",37,3,2016-02-17,NA,NA,0,271,NA,"","FR4404288105",2012-04-11,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"38",38,4,2016-03-08,NA,NA,0,271,NA,"","FR4404288105",2012-04-11,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-10-13,NA,TRUE
"39",39,1,2015-11-16,NA,NA,0,273,NA,"","FR4404288106",2012-04-30,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"40",40,1,2015-11-25,NA,NA,0,276,NA,"","FR4404288109",2012-07-04,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
