"","InsId","InsSirId","InsNumber","InsRemarks","InsDate","InsLacId","AniId","AniLifeNumber","AniBirthday","AniGenId","AniMotherLifeNumber","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","LacRemarks","LacColostrumDate","dry_off_date","dry_off_interval","AniActive","category","customer_id","date","entry_code","entry_date","exit_code","exit_date","month","year"
"27",373,NA,1,"",2017-03-31,435,12,"FR4404288068",2010-11-13,2,"",5,1,2016-11-21,"",2016-11-28,2018-01-02,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2010-11-13,"B",2018-01-02,1,2015
"28",434,NA,2,"",2017-06-19,435,12,"FR4404288068",2010-11-13,2,"",5,1,2016-11-21,"",2016-11-28,2018-01-02,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2010-11-13,"B",2018-01-02,1,2015
"29",468,NA,3,"",2017-07-11,435,12,"FR4404288068",2010-11-13,2,"",5,1,2016-11-21,"",2016-11-28,2018-01-02,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2010-11-13,"B",2018-01-02,1,2015
"30",518,NA,4,"",2017-09-11,435,12,"FR4404288068",2010-11-13,2,"",5,1,2016-11-21,"",2016-11-28,2018-01-02,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2010-11-13,"B",2018-01-02,1,2015
"31",1561,NA,1,"",2017-10-31,588,13,"FR4404288069",2010-12-16,2,"",5,2,2017-08-28,"",2017-09-03,2018-08-25,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2010-12-16,"B",2019-02-04,1,2015
"32",1649,NA,2,"",2018-01-17,588,13,"FR4404288069",2010-12-16,2,"",5,2,2017-08-28,"",2017-09-03,2018-08-25,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2010-12-16,"B",2019-02-04,1,2015
"33",10,NA,1,"",2015-10-31,222,13,"FR4404288069",2010-12-16,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",270,NA,1,"",2016-11-17,373,13,"FR4404288069",2010-12-16,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1723,NA,4,"",2018-03-24,588,13,"FR4404288069",2010-12-16,2,"",5,2,2017-08-28,"",2017-09-03,2018-08-25,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2010-12-16,"B",2019-02-04,1,2015
"36",1667,NA,3,"",2018-02-05,588,13,"FR4404288069",2010-12-16,2,"",5,2,2017-08-28,"",2017-09-03,2018-08-25,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2010-12-16,"B",2019-02-04,1,2015
"37",1768,NA,5,"",2018-05-09,588,13,"FR4404288069",2010-12-16,2,"",5,2,2017-08-28,"",2017-09-03,2018-08-25,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2010-12-16,"B",2019-02-04,1,2015
"38",11,NA,1,"",2016-03-21,225,14,"FR4404288073",2011-02-07,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
