"","AniLifeNumber","lac_number_calculated","AniBirthday","AniActive","milk_production_start_date","milk_production_end_date","last_milk_date","total_milk_prod","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","still_milking","LacCalvingDate","age_at_first_calving","lactation_duration"
"34","FR4404283104",1,2018-09-17,TRUE,2020-10-06,2021-07-13,2021-07-13,6659.8,4.3600350877193,3.41322807017544,2021-07-13,58,FALSE,2020-10-06,24,280
"35","FR4404283104",2,2018-09-17,TRUE,2021-09-09,2022-07-29,2022-07-29,11004.8,4.51643292682927,3.35060975609756,2022-07-29,39,FALSE,2021-09-09,24,323
"36","FR4404283104",4,2018-09-17,TRUE,2022-09-24,2023-09-04,2023-09-04,11805.3,4.90437142857143,3.47454285714286,2023-09-04,109,FALSE,2022-09-23,24,345
"37","FR4404283104",5,2018-09-17,TRUE,2023-12-22,2024-09-19,2024-09-19,10843.7,4.72855072463768,3.5743115942029,2024-09-19,NA,TRUE,2023-12-21,24,272
"38","FR4404283159",1,2018-09-17,FALSE,2020-12-03,2021-09-22,2021-09-22,9469.1,3.45479865771812,3.26479865771812,2021-09-22,NA,FALSE,2020-12-03,26,293
"39","FR4404288019",2,2008-11-28,FALSE,2017-05-20,2018-05-06,2018-05-06,13848.8,3.81766197183099,3.30867605633803,2018-05-06,49,FALSE,2017-05-20,25,351
"40","FR4404288019",3,2008-11-28,FALSE,2018-06-24,2019-07-15,2019-07-15,15836.9,3.7426582278481,3.25977215189873,2019-07-15,64,FALSE,2018-06-24,25,386
"41","FR4404288019",4,2008-11-28,FALSE,2019-09-17,2020-06-23,2020-06-23,10983,3.52866666666667,3.20877192982456,2020-06-23,NA,FALSE,2019-09-17,25,280
"42","FR4404288028",2,2009-05-19,FALSE,2017-09-06,2018-08-22,2018-08-22,9779.20000000001,4.14323119777159,3.47077994428969,2018-08-22,56,FALSE,2017-09-05,29,350
"43","FR4404288028",3,2009-05-19,FALSE,2018-10-17,2019-07-15,2019-07-15,7399.7,4.3136231884058,3.51641304347826,2019-07-15,56,FALSE,2018-10-17,29,271
"44","FR4404288028",4,2009-05-19,FALSE,2019-09-09,2020-01-23,2020-01-23,3091.5,3.82834532374101,3.62359712230216,2020-01-23,NA,FALSE,2019-09-08,29,136
"45","FR4404288029",1,2009-05-24,FALSE,2016-11-04,2018-01-02,2018-01-02,10076.1,5.96503512880562,3.66470725995316,2018-01-02,NA,FALSE,2016-11-04,28,424
"46","FR4404288050",2,2010-02-15,FALSE,2017-01-10,2017-10-11,2017-10-11,9016.2,4.58757246376812,3.22166666666667,2017-10-11,91,FALSE,2017-01-10,30,274
