"AniLifeNumber","avg_early_lactation_yield","avg_mid_lactation_yield","avg_delta_early_mid_yield","avg_daily_yield","avg_total_milk","avg_insem","avg_failed_insem","avg_failed_pregnancies","avg_calving_to_insem","number_lactations","avg_lactation_duration","avg_dry_interval","n_intervals","age_at_first_calving","latest_lactation_date","AniBirthday","AniGenId.x","birth_year","category.x","entry_code","entry_date","exit_code","exit_date","month","year","AniActive","AniGenId.y","age_at_exit","endmilk_to_exit_days","total_insem","total_successes","insem_success_ratio","age_at_first_insem","InsDate","age_first_successful_insem","n_health_problems","recovery_duration","date_last_diagnosis","last_diagnosis","national_number","weight","selling_price","classification","category.y","slaughter_date","cohort","farm"
"FR4401572054",770.58251,2566.504823,1795.922313,36.815441,4861.067961,1,0,0,83,3,136,NA,0,51,2014-06-22,2010-02-25,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,27,2012-06-18,NA,0,0,NA,NA,"FR4401572054",339.1,NA,"P-3","D",2015-03-23,"pre-2013","farm5"
"FR4401572056",1120.97086,3015.436865,1894.466005,41.796143,14730.097087,2,1,0,77,3,363,NA,0,50,2014-06-26,2010-03-25,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0.5,28,2012-07-28,NA,0,0,NA,NA,"FR4401572056",379.8,NA,"P-3","D",2015-11-05,"pre-2013","farm5"
"FR4401572059",1039.1261985,2295.5824935,1256.456295,33.1782945,7958.495145,1,0,0,150,4,248.5,151,1,50,2015-11-03,2010-06-04,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,27,2012-09-12,NA,0,0,NA,NA,"FR4401572059",325.8,NA,"P-3","D",2016-12-21,"pre-2013","farm5"
"FR4401572060",1278.737849,1750.7766785,472.0388295,43.466307,5920.2912615,1,0,0,97,4,140,143,1,49,2015-08-20,2010-07-08,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,26,2012-09-24,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
"FR4401572062",1270.87377,2394.174727,1123.300957,36.376963,6745.631067,1,0,0,109,3,191,NA,0,48,2014-08-10,2010-07-16,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,27,2012-11-15,NA,0,0,NA,NA,"FR4401572062",325.4,NA,"P-3","D",2015-02-18,"pre-2013","farm5"
"FR4401572063",1179.563093,2987.3786075,1807.8155145,40.1653695,13196.213592,2.5,1.5,0,83.5,3,339,190,1,40,2015-06-03,2010-07-23,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,0.4,30,2013-01-26,NA,0,0,NA,NA,"FR4401572063",320.7,NA,"P-3","D",2016-04-25,"pre-2013","farm5"
"FR4401572064",766.051769666667,1778.187683,1012.13591333333,38.5280625,8485.98705433333,2.5,1.5,0.666666666666667,71,5,227,60,2,49,2016-11-22,2010-08-04,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,0.4,29,2013-01-08,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
"FR4401572065",457.475716,0,-457.475716,21.418181,457.475728,NA,NA,0,NA,2,22,NA,0,38,2013-11-19,2010-08-22,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,29,2013-02-12,29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
"FR4401572066",936.893189,2980.970847,2044.077658,41.325049,20341.553398,5,4,1,128,2,507,NA,0,43,2014-04-07,2010-08-24,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0.2,13,2011-09-26,NA,0,0,NA,NA,"FR4401572066",309.3,NA,"P-3","D",2015-08-28,"pre-2013","farm5"
"FR4401572068",812.5242575,2029.0776415,1216.553384,32.0336245,5523.058252,1.5,0.5,0.5,90,3,178.5,214,1,39,2015-01-31,2010-09-15,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0.666666666666667,18,2012-03-24,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
"FR4401572069",918.058239,2677.281519,1759.22328,37.803886,10386.893203,NA,NA,0,NA,3,283,NA,0,51,2015-01-24,2010-10-03,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,18,2012-04-11,NA,0,0,NA,NA,"FR4401572069",323.9,NA,"P-3","D",2015-11-05,"pre-2013","farm5"
"FR4401572072",680.809051,1887.02263533333,1206.21358433333,28.643082,8562.783171,1,0,0,72,4,209,39,2,36,2015-12-15,2010-12-31,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,15,2012-04-18,NA,0,0,NA,NA,"FR4401572072",351.8,NA,"P-3","D",2016-01-28,"pre-2013","farm5"
"FR4401572073",1176.601926,2591.893175,1415.291249,35.983084,12479.902912,4.5,3.5,2.5,97.5,3,362,78,1,44,2016-01-12,2010-12-28,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,0.222222222222222,16,2012-05-01,NA,0,0,NA,NA,"FR4401572073",316,NA,"P-3","D",2016-11-23,"pre-2013","farm5"
"FR4401572077",1037.0388185,2628.398028,1591.3592095,39.5632165,8906.310679,1,0,0,90.5,3,231.5,112,1,36,2015-02-20,2011-02-17,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,15,2012-06-16,NA,0,0,NA,NA,"FR4401572077",338.9,NA,"P-3","D",2015-10-01,"pre-2013","farm5"
"FR4401572079",1269.7087225,2953.6892915,1683.980569,43.211628,15553.4466015,1.5,0.5,0.5,174.5,3,370.5,86,1,38,2015-08-28,2011-03-18,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0.666666666666667,NA,2014-09-07,NA,0,0,NA,NA,"FR4401572079",359.1,NA,"P-3","D",2016-09-07,"pre-2013","farm5"
"FR4401572083",1145.922313,3018.83492,1872.912607,43.559285,11841.359223,1,0,0,64,2,280,NA,0,34,2014-04-10,2011-05-18,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2014-06-12,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
"FR4401572087",815.922316,2119.223271,1303.300955,34.864516,11542.524271,7,6,3,83,1,341,NA,0,30,2014-01-18,2011-07-05,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0.142857142857143,17,2012-12-08,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
"FR4401572089",1177.62134266667,2689.22327133333,1511.60192866667,38.7544211666667,14214.4660188333,2.66666666666667,1.66666666666667,1.5,89.8333333333333,7,380.333333333333,66.2,5,34,2020-01-11,2011-07-23,2,2011,"VL",NA,NA,"B",2021-07-19,1,2015,FALSE,2,119,1,16,6,0.375,36,2014-08-08,36,0,0,NA,NA,"FR4401572089",302.6,NA,"P-3","D",2021-07-19,"pre-2013","farm5"
"FR4401572092",1018.6407625,2751.1164745,1732.475712,39.2072765,12638.6407765,1,0,0,72,2,332.5,62,1,29,2015-01-15,2011-08-05,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,15,2012-12-03,NA,0,0,NA,NA,"FR4401572092",334.2,NA,"P-3","D",2016-01-28,"pre-2013","farm5"
"FR4401572095",887.864064,2291.262108,1403.398044,32.234097,10922.038834,3,2,3,221,2,349,NA,0,38,2014-11-28,2011-09-10,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0.333333333333333,14,2012-11-22,NA,0,0,NA,NA,"FR4401572095",344.8,NA,"P-3","D",2015-11-12,"pre-2013","farm5"
"FR4401572097",936.504841,2164.951433,1228.446592,37.287598,18390.388349,4,3,2,116,2,508,NA,0,39,2015-02-06,2011-10-18,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0.25,15,2013-01-21,NA,0,0,NA,NA,"FR4401572097",318.4,NA,"P-3","D",2016-06-29,"pre-2013","farm5"
