"","AniId","AniLifeNumber","AniActive","AniGenId","AniBirthday","AniMotherLifeNumber","entry_code","entry_date","exit_code","exit_date"
"66",1064,"FR4404288668",FALSE,2,2024-01-06,"FR4404288527","N",2024-01-06,NA,NA
"67",1071,"FR4404288668",TRUE,2,2024-01-26,"FR4404288546","N",2024-01-26,NA,NA
"68",1078,"FR4404288681",FALSE,2,2024-03-17,"FR4443993914",NA,NA,"M",2024-03-21
"69",1079,"FR4404288681",FALSE,2,2024-03-17,"FR4404288555","N",2024-03-17,"M",2024-03-21
"70",115,"FR4912264828",FALSE,2,2011-03-29,"","A",2014-10-09,"B",2016-12-26
"71",194,"FR4912264828",FALSE,2,2011-03-29,"","A",2014-10-09,"B",2016-12-26
"72",122,"FR4952860131",FALSE,2,2012-09-26,"","A",2012-10-08,"B",2016-12-26
"73",195,"FR4952860131",FALSE,2,2012-09-26,"","A",2012-10-08,"B",2016-12-26
"74",479,"FR4954409921",TRUE,2,2018-06-30,"FR4954409661","A",2020-07-27,NA,NA
"75",674,"FR4954409921",FALSE,2,2018-06-30,"FR4954409661","A",2020-07-27,NA,NA
"76",128,"FR4963921571",FALSE,2,2011-11-16,"","A",2011-11-28,"B",2016-12-26
"77",196,"FR4963921571",FALSE,2,2011-11-16,"","A",2011-11-28,"B",2016-12-26
"78",303,NA,FALSE,1,2018-03-13,NA,"N",2018-03-13,NA,NA
"79",320,NA,FALSE,1,2018-03-20,NA,"N",2018-03-20,NA,NA
"80",348,NA,FALSE,1,2018-12-10,NA,"N",2018-12-10,NA,NA
"81",1048,NA,FALSE,2,2023-10-05,NA,"N",2023-10-05,NA,NA
"82",1052,NA,FALSE,2,2023-10-26,NA,"N",2023-10-26,NA,NA
"83",1053,NA,FALSE,2,2023-10-26,NA,"N",2023-10-26,NA,NA
"84",1103,NA,FALSE,2,2024-08-20,NA,"N",2024-08-20,NA,NA
